talker_2	talker_1	phone_2	phone_1	by	score	n
20	32	dh	k	iy-ae	0.791666666667	48
20	32	hh	dh	iy-ae	0.432291666667	192
20	32	hh	k	iy-ae	0.546875	64
20	32	k	dh	iy-ae	0.791666666667	96
20	32	k	hh	iy-ae	0.80859375	256
20	33	dh	hh	iy-ae	0.675	200
20	33	dh	k	iy-ae	0.98	50
20	33	hh	dh	iy-ae	0.56	100
20	33	hh	k	iy-ae	0.78	50
20	33	k	dh	iy-ae	0.77	100
20	33	k	hh	iy-ae	0.59	200
23	1	dh	hh	iy-ae	0.65873015873	252
23	1	dh	k	iy-ae	0.875	64
23	1	hh	dh	iy-ae	0.614285714286	280
23	1	hh	k	iy-ae	0.741071428571	112
23	1	k	dh	iy-ae	0.65625	160
23	1	k	hh	iy-ae	0.678571428571	252
23	20	dh	hh	iy-ae	0.427083333333	288
23	20	dh	k	iy-ae	0.78125	32
23	20	hh	dh	iy-ae	0.9125	320
23	20	hh	k	iy-ae	0.71875	64
23	20	k	dh	iy-ae	0.975	80
23	20	k	hh	iy-ae	0.8125	144
23	24	dh	hh	iy-ae	0.642592592593	540
23	24	dh	k	iy-ae	0.479166666667	48
23	24	hh	dh	iy-ae	0.428333333333	600
23	24	hh	k	iy-ae	0.475	80
23	24	k	dh	iy-ae	0.791666666667	120
23	24	k	hh	iy-ae	0.722222222222	180
23	25	dh	hh	iy-ae	0.819444444444	360
23	25	dh	k	iy-ae	0.6875	64
23	25	hh	dh	iy-ae	0.67	400
23	25	hh	k	iy-ae	0.5	160
23	25	k	dh	iy-ae	0.9375	160
23	25	k	hh	iy-ae	0.925	360
23	26	dh	hh	iy-ae	0.206349206349	63
23	26	dh	k	iy-ae	0.4375	16
23	26	hh	dh	iy-ae	0.914285714286	70
23	26	hh	k	iy-ae	0.651785714286	112
23	26	k	dh	iy-ae	0.925	40
23	26	k	hh	iy-ae	0.936507936508	252
23	27	dh	hh	iy-ae	0.188888888889	90
23	27	dh	k	iy-ae	0.208333333333	24
23	27	hh	dh	iy-ae	0.94	100
23	27	hh	k	iy-ae	0.4125	240
23	27	k	dh	iy-ae	1.0	60
23	27	k	hh	iy-ae	0.898148148148	540
23	29	dh	hh	iy-ae	0.831481481481	540
23	29	dh	k	iy-ae	0.770833333333	48
23	29	hh	dh	iy-ae	0.45	600
23	29	hh	k	iy-ae	0.2625	80
23	29	k	dh	iy-ae	0.875	120
23	29	k	hh	iy-ae	1.0	180
23	30	dh	hh	iy-ae	0.759259259259	810
23	30	dh	k	iy-ae	0.305555555556	108
23	30	hh	dh	iy-ae	0.491111111111	900
23	30	hh	k	iy-ae	0.275	120
23	30	k	dh	iy-ae	0.903703703704	270
23	30	k	hh	iy-ae	0.985185185185	270
23	31	dh	hh	iy-ae	0.431111111111	450
23	31	dh	k	iy-ae	0.85	40
23	31	hh	dh	iy-ae	0.79	500
23	31	hh	k	iy-ae	0.8625	80
23	31	k	dh	iy-ae	0.65	100
23	31	k	hh	iy-ae	0.527777777778	180
23	32	dh	hh	iy-ae	0.847222222222	432
23	32	dh	k	iy-ae	0.583333333333	96
23	32	hh	dh	iy-ae	0.447916666667	480
23	32	hh	k	iy-ae	0.328125	128
23	32	k	dh	iy-ae	0.845833333333	240
23	32	k	hh	iy-ae	0.965277777778	288
23	33	dh	hh	iy-ae	0.764444444444	225
23	33	dh	k	iy-ae	0.8	100
23	33	hh	dh	iy-ae	0.596	250
23	33	hh	k	iy-ae	0.88	100
23	33	k	dh	iy-ae	0.824	250
23	33	k	hh	iy-ae	0.808888888889	225
24	1	dh	hh	iy-ae	0.110714285714	280
24	1	dh	k	iy-ae	0.5	32
